date,max_temp_celsius,min_temp_celsius,precipitation_mm,max_wind_speed_kmh,max_temp_fahrenheit,min_temp_fahrenheit,max_wind_speed_mph,precipitation_inches
2024-01-01,3.4,-4.1,0.0,18.8,38.12,24.62,11.681774800000001,0.0
2024-01-02,3.7,-4.8,0.0,19.9,38.660000000000004,23.36,12.365282899999999,0.0
2024-01-03,2.0,-4.8,0.0,13.5,35.6,23.36,8.3885085,0.0
2024-01-04,3.1,-4.4,0.0,11.3,37.58,24.08,7.0214923,0.0
2024-01-05,3.8,-4.6,0.2,15.8,38.839999999999996,23.72,9.8176618,0.007874015748031498
2024-01-06,3.6,-0.6,5.8,14.1,38.48,30.92,8.7613311,0.2283464566929134
2024-01-07,2.3,-0.7,0.7,20.7,36.14,30.74,12.8623797,0.027559055118110236
2024-01-08,4.4,-3.2,1.7,24.5,39.92,26.240000000000002,15.223589500000001,0.06692913385826772
2024-01-09,5.3,0.7,22.6,29.3,41.54,33.26,18.2061703,0.8897637795275591
2024-01-10,3.0,-1.1,0.3,32.0,37.4,30.02,19.883872,0.011811023622047244
2024-01-11,4.2,-2.0,0.3,27.0,39.56,28.4,16.777017,0.011811023622047244
2024-01-12,7.6,-6.8,33.3,37.4,45.68,19.76,23.2392754,1.311023622047244
2024-01-13,-5.7,-15.0,1.0,35.7,21.74,5.0,22.182944700000004,0.03937007874015748
2024-01-14,-15.9,-23.3,0.0,32.8,3.3800000000000026,-9.940000000000005,20.380968799999998,0.0
2024-01-15,-11.4,-20.5,0.6,16.2,11.479999999999997,-4.899999999999999,10.0662102,0.023622047244094488
2024-01-16,-12.0,-18.4,0.5,23.3,10.399999999999999,-1.1199999999999974,14.4779443,0.01968503937007874
2024-01-17,-0.4,-13.5,0.0,25.9,31.28,7.699999999999999,16.0935089,0.0
2024-01-18,1.9,-5.1,0.5,20.1,35.42,22.82,12.4895571,0.01968503937007874
2024-01-19,-5.7,-15.7,1.8,27.8,21.74,3.740000000000002,17.274113800000002,0.07086614173228346
2024-01-20,-7.5,-17.3,0.0,20.5,18.5,0.8599999999999959,12.7381055,0.0
2024-01-21,-2.9,-16.1,0.0,21.1,26.78,3.0199999999999996,13.1109281,0.0
2024-01-22,-0.2,-6.8,9.8,23.7,31.64,19.76,14.7264927,0.38582677165354334
2024-01-23,5.2,-0.1,13.0,16.2,41.36,31.82,10.0662102,0.5118110236220472
2024-01-24,6.2,1.9,12.0,12.6,43.16,35.42,7.8292746,0.4724409448818898
2024-01-25,4.0,1.2,14.1,14.6,39.2,34.16,9.0720166,0.5551181102362205
2024-01-26,6.2,1.3,0.0,15.5,43.16,34.34,9.6312505,0.0
2024-01-27,3.6,-0.9,7.1,21.6,38.48,30.38,13.4216136,0.2795275590551181
2024-01-28,4.3,0.1,4.0,27.1,39.74,32.18,16.839154100000002,0.15748031496062992
2024-01-29,7.3,-1.9,0.0,20.5,45.14,28.580000000000002,12.7381055,0.0
2024-01-30,5.8,-0.0,2.1,21.8,42.44,32.0,13.545887800000001,0.08267716535433071
2024-01-31,7.6,-1.5,0.0,15.6,45.68,29.3,9.6933876,0.0
2024-02-01,12.6,0.7,0.0,18.1,54.68,33.26,11.246815100000001,0.0
2024-02-02,7.7,-0.3,0.0,20.5,45.86,31.46,12.7381055,0.0
2024-02-03,9.4,-2.9,0.0,21.5,48.92,26.78,13.3594765,0.0
2024-02-04,10.6,-1.8,0.0,21.3,51.08,28.76,13.235202300000001,0.0
2024-02-05,9.9,-2.5,0.0,19.4,49.82,27.5,12.054597399999999,0.0
2024-02-06,9.0,-3.4,0.0,10.8,48.2,25.880000000000003,6.7108068,0.0
2024-02-07,10.5,-0.8,0.0,16.1,50.9,30.56,10.004073100000001,0.0
2024-02-08,15.2,5.7,0.0,36.6,59.36,42.260000000000005,22.742178600000003,0.0
2024-02-09,16.9,9.5,0.0,30.2,62.42,49.1,18.7654042,0.0
2024-02-10,7.6,0.3,0.0,17.4,45.68,32.54,10.811855399999999,0.0
2024-02-11,6.6,-3.4,0.0,11.2,43.879999999999995,25.880000000000003,6.9593552,0.0
2024-02-12,6.5,-3.5,0.0,16.6,43.7,25.7,10.314758600000001,0.0
2024-02-13,8.2,-1.9,0.0,15.7,46.76,28.580000000000002,9.7555247,0.0
2024-02-14,9.1,-2.3,0.0,16.6,48.379999999999995,27.86,10.314758600000001,0.0
2024-02-15,8.8,0.3,1.8,31.4,47.84,32.54,19.5110494,0.07086614173228346
2024-02-16,0.8,-3.5,7.9,20.1,33.44,25.7,12.4895571,0.31102362204724415
2024-02-17,-4.4,-11.7,0.0,24.8,24.08,10.940000000000001,15.4100008,0.0
2024-02-18,4.9,-8.1,0.0,25.7,40.82,17.42,15.9692347,0.0
2024-02-19,8.7,-6.3,0.0,12.2,47.66,20.66,7.5807262,0.0
2024-02-20,12.4,-1.8,0.0,18.3,54.32,28.76,11.371089300000001,0.0
2024-02-21,17.6,3.0,0.4,23.6,63.68,37.4,14.6643556,0.015748031496062995
2024-02-22,15.7,5.8,17.7,17.0,60.26,42.44,10.563307,0.6968503937007874
2024-02-23,11.3,1.6,0.1,23.2,52.34,34.88,14.4158072,0.003937007874015749
2024-02-24,2.6,-4.0,0.0,25.2,36.68,24.8,15.6585492,0.0
2024-02-25,15.3,-1.5,0.0,20.4,59.540000000000006,29.3,12.675968399999999,0.0
2024-02-26,20.7,1.7,0.0,29.8,69.25999999999999,35.06,18.516855800000002,0.0
2024-02-27,23.1,12.1,0.0,33.2,73.58,53.78,20.629517200000002,0.0
2024-02-28,15.3,-5.8,0.1,33.1,59.540000000000006,21.560000000000002,20.5673801,0.003937007874015749
2024-02-29,6.7,-6.2,0.0,17.0,44.06,20.84,10.563307,0.0
2024-03-01,6.3,-2.0,0.9,15.6,43.34,28.4,9.6933876,0.03543307086614173
2024-03-02,13.6,-0.4,0.0,21.2,56.48,31.28,13.1730652,0.0
2024-03-03,20.0,5.2,0.0,30.1,68.0,41.36,18.7032671,0.0
2024-03-04,23.5,12.1,0.6,33.9,74.3,53.78,21.0644769,0.023622047244094488
2024-03-05,17.1,6.5,7.0,19.9,62.78,43.7,12.365282899999999,0.2755905511811024
2024-03-06,13.7,3.4,0.0,21.7,56.66,38.12,13.4837507,0.0
