Item,Qty,Datetime
Croissant - Pain Au Raisin - FM,1.0,2023-10-28 10:00:00
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:58:37
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:57:44
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:57:02
Croissant - Butter - FM,2.0,2023-10-28 09:55:47
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 09:55:47
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:55:08
Croissant - Almond - FM,1.0,2023-10-28 09:54:10
Drink 2 - Cold Brew - FM,1.0,2023-10-28 09:52:04
KA - Original - FM,2.0,2023-10-28 09:49:33
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:49:33
Croissant - Cube - FM,1.0,2023-10-28 09:48:50
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:48:31
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:48:01
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:47:32
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 09:47:32
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:47:32
Croissant - Almond - FM,1.0,2023-10-28 09:47:32
KA - Original - FM,1.0,2023-10-28 09:47:32
KA - Original - FM,1.0,2023-10-28 09:45:11
Croissant - Rose & Lychee Croissant - FM,2.0,2023-10-28 09:43:17
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:42:35
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 09:41:03
KA - Original - FM,1.0,2023-10-28 09:41:03
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:40:14
Croissant - Almond - FM,2.0,2023-10-28 09:40:14
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:40:14
Croissant - Cube - FM,1.0,2023-10-28 09:38:23
Croissant - Cube - FM,1.0,2023-10-28 09:37:49
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:35:15
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:34:47
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:33:47
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:31:15
Berry Croissant - FM,1.0,2023-10-28 09:31:15
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:30:02
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 09:30:02
Croissant - Cube - FM,1.0,2023-10-28 09:26:16
Berry Croissant - FM,1.0,2023-10-28 09:25:35
Berry Croissant - FM,1.0,2023-10-28 09:24:48
Croissant - Almond - FM,1.0,2023-10-28 09:24:48
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:24:23
KA - Original - FM,1.0,2023-10-28 09:23:30
Croissant - Cube - FM,1.0,2023-10-28 09:23:30
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:23:30
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:22:28
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:22:28
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:21:21
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:15:43
KA - Original - FM,1.0,2023-10-28 09:15:43
Berry Croissant - FM,1.0,2023-10-28 09:14:04
Berry Croissant - FM,1.0,2023-10-28 09:13:31
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:11:22
Drink 6 - Hot Chocolate - FM,1.0,2023-10-28 09:10:51
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:08:28
Berry Croissant - FM,1.0,2023-10-28 09:04:24
Croissant - Butter - FM,1.0,2023-10-28 09:03:37
KA - Original - FM,1.0,2023-10-28 09:03:37
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 09:02:33
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 09:02:33
Croissant - Cube - FM,1.0,2023-10-28 09:02:33
Croissant - Almond - FM,1.0,2023-10-28 09:02:33
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:01:19
Croissant - Butter - FM,1.0,2023-10-28 08:58:04
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 08:58:04
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 08:58:04
Croissant - Butter - FM,2.0,2023-10-28 08:53:59
Drink 2 - Cold Brew - FM,1.0,2023-10-28 08:53:36
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 08:43:55
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:43:55
Drink 6 - Hot Chocolate - FM,1.0,2023-10-28 08:41:54
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 08:41:09
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:41:09
Croissant - Butter - FM,4.0,2023-10-28 08:39:47
Berry Croissant - FM,1.0,2023-10-28 08:39:47
Croissant - Butter - FM,1.0,2023-10-28 08:39:10
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:39:10
KA - Original - FM,1.0,2023-10-28 08:35:52
Croissant - Almond - FM,1.0,2023-10-28 08:35:52
Croissant - Butter - FM,1.0,2023-10-28 08:35:52
KA - Original - FM,1.0,2023-10-28 08:34:19
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 08:29:10
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:29:10
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 08:26:03
KA - Cayenne - FM,1.0,2023-10-28 08:26:03
Drink 6 - Hot Chocolate - FM,6.0,2023-10-28 08:25:09
Croissant - Cube - FM,1.0,2023-10-28 08:20:15
KA - Original - FM,1.0,2023-10-28 08:20:15
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:16:40
KA - Original - FM,1.0,2023-10-28 08:13:51
Croissant - Butter - FM,2.0,2023-10-28 08:11:51
Croissant - Almond - FM,1.0,2023-10-28 08:11:51
KA - Original - FM,1.0,2023-10-28 08:10:30
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 08:10:01
Croissant - Almond - FM,1.0,2023-10-28 08:07:39
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 08:07:39
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:04:49
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:04:11
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:02:54
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 08:01:20
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 08:00:01
Drink 2 - Cold Brew - FM,1.0,2023-10-28 07:59:44
Drink 2 - Cold Brew - FM,1.0,2023-10-28 07:59:03
Drink 2 - Cold Brew - FM,2.0,2023-10-28 07:49:32
Croissant - Pain Au Raisin - FM,10.0,2023-10-28 07:45:43
Croissant - Pain Au Chocolat - FM,2.0,2023-10-28 07:45:43
Croissant - Butter - FM,2.0,2023-10-28 07:45:43
Croissant - Almond - FM,2.0,2023-10-28 07:45:43
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 07:44:17
Croissant - Butter - FM,4.0,2023-10-28 07:37:14
KA - Original - FM,1.0,2023-10-28 07:35:43
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 07:35:19
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 07:31:21
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 07:31:21
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 07:27:47
Drink 2 - Cold Brew - FM,1.0,2023-10-28 07:27:47
Croissant - Almond - FM,1.0,2023-10-28 07:27:05
Croissant - Almond - FM,1.0,2023-10-28 07:22:07
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 07:18:14
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 07:18:14
Croissant - Butter - FM,1.0,2023-10-28 07:09:59
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 11:17:54
Croissant - Almond - FM,1.0,2023-10-21 11:16:19
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 11:08:11
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 11:07:36
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 11:06:20
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 11:05:14
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 11:04:23
Croissant - Almond - FM,1.0,2023-10-21 11:03:54
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 11:03:03
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 11:01:57
Croissant - Almond - FM,1.0,2023-10-21 11:00:49
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 11:00:49
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 11:00:27
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 11:00:27
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:59:57
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:56:59
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 10:56:59
Croissant - Almond - FM,2.0,2023-10-21 10:56:26
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:55:43
Croissant - Almond - FM,1.0,2023-10-21 10:54:05
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:53:19
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:52:29
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:46:56
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 10:46:56
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:45:13
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:43:44
Croissant - Almond - FM,1.0,2023-10-21 10:42:53
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 10:39:42
Croissant - Almond - FM,1.0,2023-10-21 10:38:58
Berry Croissant - FM,1.0,2023-10-21 10:38:58
Croissant - Almond - FM,1.0,2023-10-21 10:33:32
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:33:32
Croissant - Pain Au Chocolat - FM,2.0,2023-10-21 10:28:30
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:24:31
Croissant - Almond - FM,1.0,2023-10-21 10:21:26
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:20:05
Croissant - Almond - FM,1.0,2023-10-21 10:19:48
Berry Croissant - FM,1.0,2023-10-21 10:19:29
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:19:06
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:15:28
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:14:30
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 10:14:30
Berry Croissant - FM,1.0,2023-10-21 10:13:23
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:12:53
Croissant - Almond - FM,1.0,2023-10-21 10:11:30
Croissant - Almond - FM,1.0,2023-10-21 10:09:08
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:08:50
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:08:42
Croissant - Butter - FM,1.0,2023-10-21 10:08:26
Croissant - Butter - FM,1.0,2023-10-21 10:07:44
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:06:55
Berry Croissant - FM,1.0,2023-10-21 10:06:55
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:05:58
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 10:05:28
Berry Croissant - FM,1.0,2023-10-21 10:04:13
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 10:03:05
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 10:03:05
Croissant - Pain Au Chocolat - FM,2.0,2023-10-21 10:00:29
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 10:00:18
Berry Croissant - FM,1.0,2023-10-21 10:00:09
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 09:56:08
Berry Croissant - FM,1.0,2023-10-21 09:53:28
Berry Croissant - FM,3.0,2023-10-21 09:46:23
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 09:37:57
Berry Croissant - FM,1.0,2023-10-21 09:37:57
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 09:36:43
Croissant - Butter - FM,1.0,2023-10-21 09:36:43
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 09:36:24
Berry Croissant - FM,1.0,2023-10-21 09:36:01
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 09:36:01
Berry Croissant - FM,1.0,2023-10-21 09:35:03
Croissant - Almond - FM,1.0,2023-10-21 09:34:07
Croissant - Butter - FM,1.0,2023-10-21 09:27:19
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 09:26:39
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 09:26:39
Croissant - Pain Au Chocolat - FM,2.0,2023-10-21 09:25:30
Croissant - Almond - FM,1.0,2023-10-21 09:25:30
Croissant - Almond - FM,1.0,2023-10-21 09:23:13
Berry Croissant - FM,1.0,2023-10-21 09:23:13
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 09:16:36
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 09:16:36
Croissant - Butter - FM,1.0,2023-10-21 09:10:37
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 09:10:37
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 09:08:21
Croissant - Almond - FM,1.0,2023-10-21 09:06:49
Croissant - Almond - FM,1.0,2023-10-21 09:06:34
KA - Original - FM,2.0,2023-10-21 09:01:42
Croissant - Ube & Strawberry - FM,1.0,2023-10-21 09:01:42
Berry Croissant - FM,1.0,2023-10-21 09:01:23
Croissant - Butter - FM,2.0,2023-10-21 09:00:54
KA - Original - FM,1.0,2023-10-21 09:00:54
Croissant - Butter - FM,2.0,2023-10-21 08:59:18
Berry Croissant - FM,1.0,2023-10-21 08:55:10
Croissant - Almond - FM,1.0,2023-10-21 08:54:32
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 08:53:55
Berry Croissant - FM,1.0,2023-10-21 08:53:55
KA - Original - FM,1.0,2023-10-21 08:49:42
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 08:49:22
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 08:41:18
Croissant - Almond - FM,1.0,2023-10-21 08:40:35
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 08:37:08
Croissant - Butter - FM,1.0,2023-10-21 08:36:45
Croissant - Almond - FM,1.0,2023-10-21 08:36:04
KA - Original - FM,1.0,2023-10-21 08:35:45
Croissant - Butter - FM,4.0,2023-10-21 08:33:21
Berry Croissant - FM,1.0,2023-10-21 08:33:21
Croissant - Almond - FM,1.0,2023-10-21 08:32:21
Croissant - Butter - FM,1.0,2023-10-21 08:30:33
KA - Original - FM,1.0,2023-10-21 08:30:33
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 08:28:03
Berry Croissant - FM,1.0,2023-10-21 08:26:52
Croissant - Butter - FM,1.0,2023-10-21 08:25:34
Croissant - Butter - FM,1.0,2023-10-21 08:18:54
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 08:18:35
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 08:18:10
KA - Original - FM,1.0,2023-10-21 08:11:23
Croissant - Pain Au Chocolat - FM,1.0,2023-10-21 08:09:25
Berry Croissant - FM,1.0,2023-10-21 08:06:29
Croissant - Pumpkin Croissant - FM,1.0,2023-10-21 08:06:29
Croissant - Almond - FM,1.0,2023-10-21 07:55:12
Croissant - Pain Au Chocolat - FM,2.0,2023-10-21 07:55:12
Croissant - Butter - FM,3.0,2023-10-21 07:54:18
Croissant - Pain Au Raisin - FM,11.0,2023-10-21 07:48:39
Croissant - Butter - FM,3.0,2023-10-21 07:48:39
Croissant - Pain Au Chocolat - FM,2.0,2023-10-21 07:48:39
Blueberry Mint Croissant - FM,1.0,2023-10-07 11:26:50
Croissant - Pumpkin Croissant - FM,2.0,2023-10-07 11:24:02
Croissant - Almond - FM,1.0,2023-10-07 11:18:51
Croissant - Pumpkin Croissant - FM,1.0,2023-10-07 11:18:51
Croissant - Almond - FM,1.0,2023-10-07 11:17:46
Croissant - Pumpkin Croissant - FM,1.0,2023-10-07 11:16:22
Drink 2 - Cold Brew - FM,1.0,2023-10-07 11:12:35
Drink 2 - Cold Brew - FM,2.0,2023-10-07 11:11:22
Croissant - Almond - FM,1.0,2023-10-07 11:10:43
Drink 2 - Cold Brew - FM,2.0,2023-10-07 11:09:48
Drink 2 - Cold Brew - FM,1.0,2023-10-07 11:09:17
Drink 2 - Cold Brew - FM,2.0,2023-10-07 11:08:13
Drink 2 - Cold Brew - FM,1.0,2023-10-07 11:04:24
Baguette - FM,1.0,2023-10-07 11:04:24
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:59:45
Blueberry Mint Croissant - FM,1.0,2023-10-07 10:58:58
Blueberry Mint Croissant - FM,1.0,2023-10-07 10:56:32
Croissant - Almond - FM,1.0,2023-10-07 10:56:11
Blueberry Mint Croissant - FM,1.0,2023-10-07 10:55:05
Croissant - Almond - FM,1.0,2023-10-07 10:53:50
Blueberry Mint Croissant - FM,1.0,2023-10-07 10:49:03
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:48:27
Berry Croissant,1.0,2023-10-07 10:47:17
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:45:20
Berry Croissant,1.0,2023-10-07 10:43:41
Berry Croissant,1.0,2023-10-07 10:43:18
Berry Croissant,1.0,2023-10-07 10:42:19
Croissant - Almond - FM,2.0,2023-10-07 10:42:19
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:41:39
Blueberry Mint Croissant - FM,1.0,2023-10-07 10:41:39
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:41:13
Drink 3 - Mango Black Tea - FM,1.0,2023-10-07 10:40:50
Berry Croissant,1.0,2023-10-07 10:40:50
Croissant - Pumpkin Croissant - FM,1.0,2023-10-07 10:40:07
Croissant - Almond - FM,1.0,2023-10-07 10:40:07
Croissant - Almond - FM,1.0,2023-10-07 10:39:01
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:39:01
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:37:22
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:36:20
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:33:08
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:31:51
Croissant - Pumpkin Croissant - FM,1.0,2023-10-07 10:31:51
Croissant - Almond - FM,2.0,2023-10-07 10:28:36
Croissant - Butter - FM,1.0,2023-10-07 10:28:36
Croissant - Butter - FM,1.0,2023-10-07 10:27:18
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:23:06
Berry Croissant,1.0,2023-10-07 10:23:06
Croissant - Almond - FM,1.0,2023-10-07 10:23:06
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:23:06
Drink 2 - Cold Brew - FM,2.0,2023-10-07 10:21:48
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:21:09
Blueberry Mint Croissant - FM,1.0,2023-10-07 10:20:00
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:20:00
Drink 1 - Drip Coffee - FM,2.0,2023-10-07 10:19:20
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:16:50
Berry Croissant,1.0,2023-10-07 10:13:48
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:13:48
Croissant - Pain Au Chocolat - FM,1.0,2023-10-07 10:12:23
Croissant - Pain Au Chocolat - FM,1.0,2023-10-07 10:11:12
Croissant - Butter - FM,1.0,2023-10-07 10:11:12
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:11:12
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:10:37
Berry Croissant,1.0,2023-10-07 10:10:37
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:10:37
Croissant - Pain Au Chocolat - FM,1.0,2023-10-07 10:10:37
Croissant - Pumpkin Croissant - FM,1.0,2023-10-07 10:09:56
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:09:56
Baguette - FM,1.0,2023-10-07 10:08:36
Berry Croissant,1.0,2023-10-07 10:08:36
Croissant - Almond - FM,1.0,2023-10-07 10:08:36
Croissant - Pain Au Chocolat - FM,1.0,2023-10-07 10:08:36
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:08:36
Croissant - Butter - FM,1.0,2023-10-07 10:08:36
Drink 2 - Cold Brew - FM,1.0,2023-10-07 10:07:10
Drink 1 - Drip Coffee - FM,2.0,2023-10-07 10:06:00
Drink 1 - Drip Coffee - FM,3.0,2023-10-07 10:05:08
Croissant - Butter - FM,1.0,2023-10-07 10:05:08
Croissant - Pumpkin Croissant - FM,1.0,2023-10-07 10:04:17
Blueberry Mint Croissant - FM,1.0,2023-10-07 10:04:17
Drink 1 - Drip Coffee - FM,2.0,2023-10-07 10:04:17
Berry Croissant,1.0,2023-10-07 10:03:20
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:03:20
Croissant - Almond - FM,1.0,2023-10-07 10:00:38
Drink 1 - Drip Coffee - FM,1.0,2023-10-07 10:00:38
Croissant - Butter - FM,1.0,2023-10-07 09:59:39
Berry Croissant,1.0,2023-10-07 09:58:41
Drink 2 - Cold Brew - FM,1.0,2023-10-07 09:58:41
Drink 2 - Cold Brew - FM,2.0,2023-10-07 09:58:12
Blueberry Mint Croissant - FM,1.0,2023-10-07 09:57:26
Croissant - Almond - FM,1.0,2023-10-07 09:57:26
